composer,composer_cyrillic,gender,birth,death,currently,diaspora,studied,taught,worked,member_of_National_Union_of_Composers_of_Ukraine,sources,personal_website,in_contact
"SHAMO, Ihor","Шамо, Ігор",Male,"February 21st, 1925 in Kyiv, Ukraine","August 17th, 1982 in Kyiv, Ukraine",-,-,"First Medical Institute of Moscow (1941–42) paramedic, NMAU (1951) comp with B. Lyatoshynsky",-,medical assistant in military for First Ukrainian Front (1942–46),"joined (1948), on the board","Drabyna (138–148), Dytynyak (149–150), Gnativ (55–56), Grove, Herman (III: 38–39),  Ho (478), IEU, Karas, Korniy, Mukha (322–323), Musicalics, Nevenchanaia, Rozhok, Shank (243), Slonimsky (V: 490), Sonevytskyi (241–242), Struk (IV: 613),  UASP, UL, UMW, Vilkova (338–39), VUE, NUCU website, 1968 (234–235), 1978 (210–211)",http://www.igorshamo.de/eng/biogr.htm,-
"SHAMO, Yuriy","Шамо, Юрій",Male,"January 15th, 1947 in Kyiv, Ukraine (son of Ihor Shamo)","August 25th, 2015 in Fulda, Germany",-,Germany ,NMAU (1970) comp with A. Shtoharenko,KU (1970–?) theory,-,joined (date unknown),"Gnativ (56), Karas, 1984 (245–246), Rozhok, Shank (242–43), Sonevytyskyi (242–43), UMW, 2006 (105)",http://www.igorshamo.de/eng/biogr.htm,-
"SHATS, Oleksandr","Шац, Олександр",Male,"June 15th, 1901 in Odesa, Ukraine","1970 in Odesa, Ukraine",-,-,"ONMA (1921) cond, comp with V. Malishevsky, (1924) pno",ONMA (1933–36) radio faculty,pno for Drama Theatre in Odesa & Dnipro (1924–33),joined (date unknown),"Dytynyak (150–151), Mukha (325), Shank (245), Sonevytskyi (243–44), 1968 (237)",-,-
"SHCHERBAKOV, Igor","Щербаков, Ігор",Male,"November 19th, 1955 in Dnipro, Ukraine",-,-,-,"Dnipro State Music School (1974) pno, NMAU (1979) comp with V. Kyreiko",NMAU (1993-) comp,"Ukrainian Ministry of Culture (1981-84), Muzchyna Ukraina: music editor (1985-92) Deputy Chief (1986-1991), Organizer/Music Director of International Youth Music Forum (1992-1999), Music Director of Premieres of the Season (1999-2022)",joined (1986) head of the Kyiv branch (1999-2010); Head of Organization (2010-),"Gnativ (57), Grove, Mukha (335-36), NMU, Rozhok (260, 312, 423, 425, 427-28), Shank (246), Sonevytsky (244), UCMF, UMW, Vilkova (347-48), NUCU website, 2006 (3, 7-8)",https://igorshcherb.wixsite.com/igor-shcherbakov,via email 
"SHCHETYNSKY, Oleksandr","Щетинський, Олександр",Male,"June 22nd, 1960 in Kharkiv, Ukraine",-,-,-,"KhNUA (1983) comp with V. Borysov, Krakow Music Academy (1991) computer music","KhMS (1982–1990), KhNUA (1991–1995 & 2018–), guest lecturer at NMAU (1995) and schools abroad",director of various contemporary festivals such as New Music Kharkiv (1995–2001,joined (1986),"Baley, Gnativ (57-59), Grove, Hakobian, Korniy, LCP, Mukha (336–337), Musicalics, NMU, Shank (246–47), Sonevytskyi (244), UL, UMW, Vilkova (348), VUE, NUCU website, 2006 (55)",http://www.shchetynsky.ho.ua/,via email 
"SHLONSKY, Verdina","Шльонський, Вердина",Female,"January 22nd, 1905 in Kremenchuk, Poltava Oblast, Ukraine","February 20th, 1990 in Tel-Aviv, Israel (moved in 1945)",-,Israel (moved in 1945),"Berlin Hochschule für Musik (?) pno; Private studies in Paris with N. Boulanger, E. Varèse & M. Deutsch ",TAU (?) pno,music critic for Israeli newspapers,-,"Grove, IMI, JMRC, Musicalics, Shank (248)",-,-
"SHMURAK, Alexey","Шмурак, Олексій",Male,"1986 in Leningrad [Modern: St Petersburg], Russia",-,-,-,NMAU (2010) comp with Y. Ishchenko,-,"Goethe-Institut (2010–), composer in residence for Plivka (2016–18), published articles for The Claquers & KyivDaily",-,"Gnativ (59-60), LCP, Shank (248–49), UCMF",-,via email 
"SHUKAILO, Lyudmyla","Шукайло, Людмила ",Female,"December 26th, 1942 in Verkhnia Salda, Sverdlovsk oblast, Russia",-,"Cairo, Egypt",Egypt (moved in 2020),"KhNUA (1966) pno, comp with V. Nakhabin",Kharkiv Music School (1965-2019),-,joined (unknown),"Dytynyak (153), ESU, Mukha (332), Piirainen, Sonevytsky (249), UMW, Vilkova (344-5), NUCU website",-,via email with duaghter 
"SHUKH, Mykhail","Шух, Михаїл",Male,"December 14th, 1952 in Krasnyi, Luhansk oblast, Ukraine","April 8th, 2018 in Kyiv, Ukraine",-,-,KhNUA (1977) comp with D. Klebanov & V. Zolotukhin,"DSMA (1977–?), KU (2002–?)",director of choir festival “Pevchesky Sobor” (2002–2007),joined (1980),"Grove, Mukha (334–35), Shank (250), UMW, Vilkova (346–47), 1984 (262), NUCU website, 2006 (43)",http://www.shukh.narod.ru/ and http://shukh2.wix.com/mikhail-shukh,via email with wife Nataliya Chamorova
"SHUMEIKO, Volodymyr","Шумейко, Володимир",Male,"January 21st, 1949 Hleyavatka, Dnipro oblast, Ukraine",-,-,-,NMAU (1973) comp with M. Skoryk,Rivne branch of KU (1973–76),editor Muzychna Ukraina (1979–84),joined (1976),"Dytynyak (153), Grove, Mukha (333), Rozhok, Shank (251), UL, UMW, Vilkova (345), NUCU website, 1978 (222–23), 1984 (259), 2006 (43)",-,via email 
"SHUTENKO, Kim","Шутенко, Кім",Male,"October 17th, 1932 in Kharkiv, Ukraine","June 23rd, 2010 in Kirovohrad, Ukraine",-,-,GMI (1956) comp with V. Kriukov,"music schools in Yakutsk (1954–59), Kalush (1959–62), Kirovohrad (1962–?)",-,joined (date unknown),"music schools in Yakutsk (1954–59), Kalush (1959–62), Kirovohrad (1962–?)",-,-
"SHVYRKUNOV, Oleksii","Шврикунов, Олексій",Male,"1999 in Alchevsk, Luhansk Oblast, Ukraine",-,-,-,KhNUA (2023) comp with K. Palachova & V. Ptushkin (2023–) comp with D. Malyi,-,-,-,-,-,via email 
"SHYPOVYCH, Konstyantyn","Шипович, Констянтин",Male,"February 24th, 1907 in Kyiv, Ukraine","August 7th, 1942 in Kyiv, Ukraine",-,-,"NMAU (?) comp with L. Revutsky, B. Lyatoshynsky & V. Kosenko",-,Arrested: in 1940 ,joined (date unknown),"Korniy, Mukha (328)",-,-
"SIEROVA, Lena","Сєрова, Олена",Female,"1983 in Kyiv, Ukraine",-,-,-,"NMAU (2007) comp with H. Havrylets, Krakow Academy of Music (2009) comp with Z. Bujarski",National Academy of Culture and Arts Management (2012–2023) pop vocals & sound engineering (2023–) music & sound production,Artistic director for “Music Marine Fest” (2006–07),joined (2011),"UCMF, NUCU website ",-,via email
"SILVESTROV, Valentin","Сильвестров, Валентин",Male,"September 30th, 1937 in Kyiv, Ukraine",-,-,-,"Stetsenko Adult Evening Music School in Kyiv, (1953–55), Kyiv Institute of Construction Engineering (1955–58), NMAU (1964) comp with B. Lyatoshynsky & L. Revutsky",various music schools in Kyiv (1963–70),-,joined (1969),"Dytynyak (125–26), Gnativ (60–61), Grove, Herman (III: 46–47), Ho (499–501), IEU, Khomik, Klopoushak (Chapter 4), Korniy, LCP, Lunyna, Mukha (266–67), Musicalics, NMU, Pavlyshyn, Rozhok, Schwarz, Shank (254), Slonimsky (V: 530), Sonevytskyi (279–80), Struk (IV: 140), Tsenova (66–83), UASP, UCMF, UME (VI: 363–68), UMW, Vilkova (275–76), VUE, 1978 (176–77), NUCU website, 1976 (176–77), 2006 (34–35)",-,-
"SINCHENKO, Bohdan","Сінченко, Богдан",Male,"March 30th, 1987 in Starobilsk, Luhansk oblast, Ukraine",-,-,-,"Severodonetsk Music College (2006) theory, KhNUA (2011) comp with V. Zolotukhin & V. Drobyazhina","Kharkiv State Secondary School and College (2011–2017), KhNUA (2011–2017) senior laboratory technician",Military (December 2023–December 2024) in the 48th separate assault battalion,-,-,-,via email 
"SIRENKO, Vsevolod","Сіренко, Всеволод",Male,"February 5th, 1991 in Kyiv, Ukraine",-,-,-,"NMAU (2015) comp with Y. Stankovych, (2018) comp with Stankovych",-,"NMAU (2019-2023) librarian, National Symphony Orchestra of Ukraine (2023-) librarian",joined (2016),"UME (VI: 407-08), NUCU website",-,via email
"SIUTA, Bohdan","Сюта, Богдан",Male,"November 28th, 1960 Drohobych, Lviv Oblast, Ukraine",-,-,-,"LNMA (1984) comp with Gergeli, The Rylsky Institute of Art Studies, Folklore and Ethnology (1992), (1996), (2007) Phd",Drohobych State Music School (1984–1989),Member of NUCU: joined (2016),"joined (1992), board member (2010-)","Karas, Korniy, Mukha (290-291), Rozhok, UME (VI: 671-74), NUCU website, 2006 (38)",-,via email 
"SKORYK, Myroslav","Скорик, Мирослав",Male,"July 13th, 1938 in Lviv, Ukraine (his family was exiled to Siberia (1947–55)","June 1st, 2020 in Kyiv, Ukraine",-,-,"LNMA (1960) comp with A. Soltys, S. Lyudkevych & R. Simovych, MSC (1964) comp with D. Kabalevsky, (1967) Phd","LNMA (1964–66 & 1988–1996), NMAU (1966–1988 & 1998–?) head of department of music history (1999–?)",,"joined (1963), secretary (1968), head of management (1984), co-president (2006–2010)","Baley, Drabyna (99–109), Dytynyak (128–129), Grove, Herman (III: 48–50), Ho (503–504), IEU, Karas, Klopoushak (Chapter 5), Korniy, Mukha (271–272), Musicalics, NMU, Rozhok, Schwarz, Shank (255), Sonevytskyi (259–260), Struk (IV: 733), UASP, UCMF, UL, UME (VI: 431–35), UMW, Vilkova (279–80), VUE, Zaderatsky, NUCU website, 1968 (198–199), 1978 (178–179), 1984 (210–211), 2006 (63–64)",-,-
"SMOHYTEL, Vadym",Смогитель Вадим,Male,"April 1st, 1939 in Odesa, Ukraine",-,United States (1990-2005),-,"Gliere Music School in Kyiv (1959), NMAU (1959-64) but was expelled for his nationalist bias (later was imprisoned in Kherson for political reasons)",-,secretary for UNP (1989-90),-,UMW,-,-
"SOKACHYK, Renata","Сокачик, Рената",Female,"October 2nd, 1990 in Vylok, Zakarpattia oblast, Ukraine",-,-,-,"Uzhhorod State Music College (2009) comp with V. Telychko, NMAU (2014) comp with H. Havrylets, (2019) Phd “Peter Eötvös’s opera oeuvre in the context of the development of Hungarian music of the XX–XXI centuries.”",S. Turchak School in Kyiv (2011–),-,joined (2021),NUCU Website,-,via email
"SOLONSKIY, Volodymyr","Солонський, Володимир",Male,"April 22nd, 1967 in Zhdanov [Modern: Mariupol], Donetsk Oblast, Ukraine",-,Fled Mariupol in 2022 due to Russian occupation,-,"Mariupol Music school (1982) acc, Zhdanov Industrial Technical School (1986) welding, Mariupol Music School (1992) cl, Berdyansk Pedagogical Institute (2008) music education",Music school in Mariupol (1992–2023),"army (1966–68), Azovstal plant (1988–89), Mariupol Orchestra (2002–2012), author of cl method books",Member of Donetsk Union of Composers: joined (2010),-,-,via email
"SOLTYS, Adam","Солтис, Адам",Male,"July 4th, 1890 in Lviv, Ukraine","July 6th, 1968 in Lviv, Ukraine",-,-,"LNMA (1911) vln & music theory, State Music Academy in Berlin (1914), Berlin Academy of Arts (1916), University of Berlin (1921) Phd supervisor J. Wolf",LNMA (1921–?) director (1930–39),"cond Lviv Philharmonic (1940–1956), vln, music critic",joined (date unknown),"Dytynyak (131), Ho (515–16), IEU, Karas, Korniy, Mukha (277–78), Musicalics, Rozhok, Slonimsky (V: 594), Struk (IV: 824), UME (VI: 508–09), UMW, 1968 (204–05)",-,-
"SPASOKUKOTSKY, Lev","Спасокукоцький, Лев ",Male,"September 14th, 1912 in Nikolske, Yaroslavl oblast, Russia","May 25th, 1960 in Kyiv, Ukraine",-,-,"NMAU (1945) comp with B. Lyatoshynsky, (1948), (1951) PhD “The Cantata Genre in the Works of Ukrainian Soviet Composers”",NMAU (1951-60) comp & theory,-,joined (date unknown),"Mukha (279), Piirainen, UME (VI: 535), UMW, Vilkova (287)",-,-
"STANKOVYCH, Tatiana","Станкович, Тетяна",Female,"March 8th, 1975 in Svalyava, Zakarpattia oblast, Ukraine",-,"Latina, Italy",Italy (moved in 2002),"Svalyava Music School (1990) pno, Uzhhorod Music School (1994) pno, Academia Musicale di Firenze (2010) pno; Private studies: jazz lessons with S. Diotallevi and C. Viti ",pno at Svalyava Music School and various musical schools in Rome and Latina,accompanist for vocalists and instrumentalists,-,-,https://www.tatianastankovych.net/,via email
"STANKOVYCH, Yevhen","Станкович, Євген",Male,"September 19th, 1942 in Svalyava, Zakarpattia Oblast, Ukraine",-,-,-,"Uzhhorod Music School (1961) vlc, comp with I. Marton, LNMA (1962–63)* with A. Soltys, NMAU (1970) with B. Lyatoshynsky and M. Skoryk  *Stankovych’s studies were interrupted due to military service","NMAU (1976–), head of comp department (1989–)",editor for Muzychna Ukraina (1970–76),"joined (1975) first secretary (1989–92), president (1990–93), copresident (2004–10)","Baley, Drabyna (110–121), Dytynyak (132–133), Gnativ (61–62), Grove, Ho (519), IEU, Karas, Lunyna, Korniy, LCP, Mukha (279–282), Musicalics, NMU, Rozhok, Shank (262–63), Sonevytskyi (268–269), UASP, UCMF, UL, UME (VI: 550–559), UMW, Vilkova (288–89), VUE, Zinkevych, NUCU website, 1978 (181–182), 1984 (213–214), 2006 (35)",https://www.stankovych.org.ua/,via email with daughter Rada Stankovych
"STARYTSKY, Mykhaylo","Старицький, Михайло",Male,"October 5th, 1957 in Luhansk, Ukraine","April 9th, 2014 in Frankfurt, Germany",-,Germany (moved in 2005),NMAU (1984) comp with A. Shtoharenko,-,"army (1976–78), played in Luhansk Philharmonic (1978–79), editor Muzychna Ukraina (1984–98), music editor for Dovzhenko Film Studio in Kyiv (1991–98), chief librarian at Russian State Library in Moscow (1998–2005)",joined (date unknown),"Karas, Korniy, Mukha (282), Rozhok, Shank (263), UME (VI: 563), UMW, Vilkova (289), 2006 (104)",-,-
"STECHYSHYN, Oksana","Стечишин, Оксана",Female,"April 22nd, 1998 in Ternopil, Ukraine",-,Germany,Germany (moved in 2023),"Ternopil Music College (2017) pno, LNMA (2021) pno, LNU (2025) psychology","Novoyarynchivska Children’s Music School (2020-21) pno, School of Arts of Free and Indifferent (2021-23), Brussels Music Academy (2023-) chamber music & accompany","pianist, cond, accompanist for Children’s Choral School “Zorynka” (2015-16) & LNMA (2021-23), running charity projects in Europe (music therapy programs, concerts/lectures on Ukrainian music), composer/arranger",-,-,-,via email 
"STEPANENKO, Kyrylo","Степаненко, Кирило",Male,"January 6th, 1990 in Kyiv, Ukraine",-,"Belleville, Ontario, Canada",Canada,"Royal Conservatory of Music in Toronto, George Brown College (2013) Arts & Science, Kyiv National Academy of Culture & Arts Management (2021) sound production, Stepoviy KMS theory & piano, LNMA (2021–) comp with M. Shved",-,"owner & producer for ArtBugs Records (2013–), musician (woodwinds)",-,-,-,via email
"STEPURKO, Viktor","Степурко, Віктор",Male,"December 22nd, 1951* in Mykolaivka, Kharkiv oblast, Ukraine *This is his real birthdate. His legal birthdate (date in sources) is different – January 2, 1952 because some parents changed the child’s legal date to a later date to trick Soviet officials to avoid sending their children to the army.",-,-,-,"NMAU (1981) cond, comp with M. Skoryk","Khmelnytsky Music College (1981–82), Makariv Music School (1982–97), NMAU (2004–)","director of choir “Sviat-kolo”, board member of festival “Musical Premieres of the Season” and Dumka Choir",joined (1983),"Mukha (285), Rozhok, Sonevytsky (273), UL, UME (586-89), UMW, Vilkova (294), VUE, NUCU website, 1984 (217), 2006 (37)",-,via email
"STOIANOVA, Anna","Стоянова, Анна",Female,"1991 in Odesa, Ukraine",-,"Ottawa, Canada",Canada,"ONMA (2014) musicology, comp (2017) comp with J. Gomelskaya & K. Tsepkolenko (2019) Phd “New Genre Paradigms of Ukrainian Composers’ Creativity Last Decades of XX – Beginning of XXI Century”","private lessons pno, comp, music theory & history, ONMA (2017–18) harmony & solfege",-,joined (2018),NUCU Website,-,via email 
"STRONKO, Boryslav","Стронько, Борислав",Male,"May 17th, 1970 in Tulchyn, Vinnytsia oblast, Ukraine",-,-,-,"KLMS (1988) music theory, NMAU (1993) comp with Y. Ishchenko, (1996), (2003) Phd ""Status of Existential Time (Ontological Time) in Music” supervisor V. Moskalenko","GKIM (1993–), NMAU (2003–)",-,joined (1996),"Korniy, Mukha (289–290), UL, UME (VI: 640–41), UMW, Vilkova (302), NUCU website, 2006 (37–38)",-,via email
"STUK, Anton","Стук, Антон",Male,"July 23rd, 1992 in Chernihiv, Ukraine",-,-,-,"Chernihiv Music College (2011) violin; comp with M. Demydenko, (2016) comp with I. Shcherbakov, electroacoustics",-,-,joined (2018),"UME (VI: 644-45), NUCU website",-,via email 
"STUTSCHEWSKY, Joachim","Стучевский, Иоахим",Male,"February 7th, 1891 in Romny, Poltava Oblast, Ukraine to musical family (father klezmer musician)","November 14th, 1982 in Tel-Aviv, Israel",-,Israel (moved in 1938),Leipzig Conservatory (1912) vlc,-,"Taught vlc in Zurich (1914–1924), founder of Vienna String Quartet, World Center for Jewish Music (1937), premiered works by Second Viennese School composers, musicologist on Hebrew folk music",-,"Beebe (68–69), Grove, Ho (531), IMI, JMRC, JVL, Shank (266), Slonimsky (VI:15)",-,-
"SVECHNIKOV, Anatoliy","Свєчніков, Анатолій",Male,"June 15th, 1908 in Kyiv, Ukraine","March 13th, 1962 in Kyiv, Ukraine",-,-,"NMAU (1932) comp with V. Zolotarov & L. Revutsky, (1938)",NMAU (1945-56) comp,"music director All-Donbass Drama Theatre (1932-33), theatres in Kyiv (1933-36) & Ukrainian Radio (1936-41, 44-51)",joined (unknwon),"Dytynyak (123), Mukha (261-62), Sonevytsky (277-78), UMW",-,-
"SYDORENKO, Wasyl","Сидоренко, Василь",Male,"March 15th, 1960 in Toronto, Canada (His parents Petro and Kateryna immigrated seperately to Canada from Ukraine after WWII and met in Toronto. His father was a survivor of Holodomor and Ostarbeiter Camps in Germany)","January 13th, 2022 in Toronto, Canada",-,Canada,"Royal Conservatory of Music in Toronto (1978) ARCT pno, University of Toronto (1983) Bachelor of Arts: Musicology Specialist (comp with W. Buczynski) & Geology Major, (2007) Masters in Library and Information Science; Ukrainian Free University in Munich (1989 & 1992) independent researcher in musicology",-,"President CUPE Local 1230 (2010–22), Founder Hypertext Plus (1998– 2022), Editor “Cathedral Bells” St. Volodymyr Ukrainian Orthodox Cathedral (1995– 2021), East European Reference Specialist at Petro Jacyk Resource Centre University of Toronto (1994–2022), artistic advisor for festivals “Ukrainian Music Festival” & “Ukrainian Art Song Project”, music critic with articles in US Daily, Svoboda & Canadian Weekly, The New Pathway, cond & organized concert for 100 year of Ukrainians in Canada (1991), musicologist contributed works such as the Encyclopedia of Ukraine",-,"CE, Karas, Mukha (264–265), Sonevytskyi (278), Struk (V: 139), UASP, UME (VI: 358–59)",-,via email and in person with sister Halyna Sydorenko
"SYROYID, Bohdan","Сироїд, Богдан",Male,"April 13th, 1995 in Lviv, Ukraine",-,-,Spain,"Bachelor at Higher Conservatory of Music of Malaga (2014) comp supervisor R.R. Samiñán, University of La Rioja (2015) music research, University of Chichester (2017) masters comp with G. Michelmore, University of Camilo José Cela (2019) master management, University of Leuven (2020) Phd musicology supervisor M. Delaere, Higher Conservatory of Music of Castilla-La Mancha (2022) pno, Higher Conservatory of Music of Murcia (2024) music pedagogy","University of Salamanca (2022–) assistant professor of music education, University of Castilla-La Mancha (2018–2022) associate lecturer in music education",-,-,-,https://syroyid.com/,via email
"SYSENKO, Anastasia","Сисенко, Анастасія",Female,"April 1st, 1998 in Chernihiv, Ukraine",-,-,-,"Chernihiv Music College (2016) music theory & education, LNMA (2021) comp & education, (2023) comp with V. Kaminsky & O. Manulyak",-,-,-,UL,-,via email
"TARANENKO, Ivan","Тараненко, Іван",Male,"September 16th, 1965 in Kaniv, Cherkasy oblast, Ukraine",-,-,-,"NMAU (1991) comp with V. Kyreyko, A. Shtoharenko & G. Liashenko (1995)","Kaniv State School (1991–1998), NMAU (1999–), Kyiv Academy of Arts (2018–)","founder of festival “Farbotony” (1998–). director Centre for Festivals and Competitions of the Kyiv Children’s Academy of Arts (2003–), co-founder Shevchenko Art Festival of Choral Singing “Chernecha Gora” (2012–)","joined (1994), secretary (2005–)","Korniy, Mukha (291–292), Rozhok, UCMF, UMW, Vilkova (304–05) Zagaykevych (156), NUCU website, 2006 (38)",-,via email
"TARANOV, Hlib","Таранов, Глів",Male,"June 2nd, 1904 in Kyiv, Ukraine","January 25th, 1992 in Kyiv, Ukraine",-,-,"NMAU (1924) cond, comp with R. Glière & B. Lyatoshynsky, KLMS (1925), SPSC (1944) Phd","KLMS (1925–1939), NMAU (1939–1941 & 1950–74) head of instrumentation department, SPSC (1941–1950)",-,"joined (date unknown), president (1956–1968)","Dytynyak (136–137), Ho (543–544), Korniy, Mukha (292–293), Olkhovsky, Rozhok, Shank (273), Slonimsky (VI: 77), Sonevytskyi (280–281), Struk (V: 161), UMW, Vilkova (306), 1968 (207–208), 1978 (185–186), 1984 (220–222)",-,-
"TARNOPOLSKI, Vladimir","Тарнопольський, Володимир",Male,"April 30th, 1955 in Dnipro, Ukraine",-,-,-,"MSC (1980) comp with E. Denisov, N. Sidelnikov & Y. Kholopov","MSC (1992–2022), Munich Hochshule für Musik und Theater (2022–)","founder of revitalized Association of Contemporary Music (1989) & Society of New Music and Center for Contemporary Music at MSC (1993), artistic director of Studio for New Music Moscow Ensemble (1993) & Moscow Forum Festival (1994–), founder and director of Jurgenson International Competition for Young Composers (2001–)",-,"Grove, Hakobian, LCP, Musicalics, Piirainen, Shank (273), Tsenova (253–265)",https://tarnopolski.ru//,via email
"TELYCHKO, Viktor","Теличко, Віктор",Male,"May 10th 1957 in Khust, Zarkappatia oblast",-,-,-,"Uzzhorod Music College (1976) pno, music theory, NMAU (1981) pno, (1984) comp with M. Skoryk","Uzhhorod Music College, Mukachevo Humanitarian-Pedagogical Institute, DSMA","Artistic director of Zakarpattia Philharmonic (1986-1990), director of festival Musical Constellation of Zakarpatta (1998-?), published articles, pianist","joined (1990), director of Zarkappatia branch (1994-)","Mukha (294), Sonevytsky (281), UL, NUCU website, 2006 (4, 70)",-,-
"TOMLENOVA, Alona","Томльонова, Альона",Female,"March 26th, 1963 in Odesa, Ukraine",-,-,-,ONMA (1986) comp with T. Maliukova,Odessa Music School no. 12 (1994–?),artistic director All-Ukraine Children Festival “Orpheus” (2000),joined (date unknown),"Korniy, Mukha (298–99), Musicalics, NMU, NUCU website, 2006 (82)",-,-
"TSEPKOLENKO, Karmella","Цепколенко, Кармелла",Female,"February 20th, 1955 in Odesa, Ukraine",-,-,-,"ONMA (1979) comp with O. Krasotov, Moscow Pedagogical Institute (1989), (1990) Phd comp with G. Tsypin",ONMA (1979–),"artistic director of “Two days and two nights of new music in Odesa”, head of Ukrainian section of International Society for Contemporary Music","joined (date unknown), secretary","Baley, Gnativ (62–64), Grove, Korniy, LCP, Mukha (316), Musicalics, NMU, Shank (278–79), Sonevytskyi (286–287), UCMF, UMW, Vilkova (333), VUE, Zagaykevych (155), NUCU website, 1984 (239), 2006 (83)",-,via email
"TSYTSALYUK, Hryhoriy","Цицалюк, Григорій",Male,"September 23rd, 1929 in Podilske, Khmelnytskyi oblast, Ukraine","June 17th, 1995 in Kharkiv, Ukraine",-,-,LNMA (1953) comp with S. Lyudkevych,KhNUA (1962–?),"artistic director of Vinnytsia Philharmonic (1953–7), director of Folk ensemble “Serp i molot” (Sickle and hammer)","joined (date unknown), head of Kharkiv branch (1982-?)","Dytynyak (148–49), Mukha (317), Struk (V: 310), UMW, Vilkova (335), 1968 (233), 1978 (207–08), 1984 (240–41)",-,-
"TURKEWICH-LUKIYANOVYCH, Stefania","Туркевич-Лукіянович, Стефанія",Female,"April 25th, 1898 in Lemburg [Modern: Lviv], Ukraine","April 8th, 1977 in Cambridge, United Kingdom",-,United Kingdom (moved in 1946) *fled Soviet Union in 1944,"KLMS (1906–1914) pno, comp with V. Barvinsky, Lviv University (1921) musicology with A. Khybinski, Ukrainian Free University in Prague (1934) Phd “Ukrainian Folklore in Opera”; Private comp studies: in Vienna (1921–23) J. Marx, in Berlin (1925–30) with A. Schoenberg & F. Schreker, in Prague (1930–34) with O. Sin & V. Novak","Lysenko Music Institute of Lviv (1935–39), LNMA (1940–1941)","accompanist Lviv Opera House, pno Lviv Radio, private piano teacher",(1939–41),"Dytynyak (90), ESU, Gnativ (64), IEU, Karas, Korniy, Mukha (183–184), Pavlyshyn, Shank (283), Sonevytskyi (289–290), Struk (V: 318–19), UASP, UDC, UL, UMW, Vilkova (313)",-,-
"TURNEEV, Sergey","Турнєєв, Сергій",Male,"April 8th, 1955 in Lysychansk, Luhansk oblast, Ukraine",-,-,-,KhNUA (1981) comp with V. Borysov,"Luhansk Music School, KhMS",-,joined (unknwon),"Mukha (300), Shank (283), Sonevytskyi (290), NUCU website, 2006 (91)",-,-
"TYLYK, Volodymyr","Тилик, Володимир",Male,"July 21st, 1938 in Dnipro, Ukraine","March 27th, 2009 in Kyiv, Ukraine",-,-,NMAU (1962) comp with L. Revutsky & A. Shtoharenko,GKIM (1976–81),"editor for Ukrainian Radio (1962–67), Muzyka (1967–70), Mystetsvo (1967–68), Muzychna Ukraina (1971–74)",joined (date unknown),"Drabyna (130–137), Dytynyak (138), Mukha (295), Rozhok, Sonevytskyi (291), Struk (V: 328), UMW, Vilkova (309), 1968 (211), 1978 (190), 1984 (224–225), 2006 (38-9)",-,-
"VARYTSKY, Valentyn","Варицький, Валентин",Male,"February 2nd, 1932 in Kyiv, Ukraine",-,-,-,NMAU (1969) comp with B. Lyatoshynsky,KMS (1960–62),editor Muzychna Ukraina (1966–73),joined (1972),"Dytynyak (27), ESU, Mukha (44–45), UME (I: 303), 1978 (20), 1984 (23), 2006 (11)",-,-
"VERESHCHAGIN, Yaroslav","Верещагін, Ярослав",Male,"December 12th, 1948 in Kyiv, Ukraine to musical family (father composer Roman Vereshchagin)","August 4th, 1999 in Vorzel, Kyiv oblast, Ukraine",-,-,NMAU (1973) comp with M. Skoryk,-,editor of Muzychna Ukraina (1973–) chief editor (1978–80 & 1985–87),"joined (1973), secretary (1980–85)","Drabyna (15–25), Dytynyak (29), ESU, Gnativ (65–66), Korniy, Mukha (48–49), Shank (288–89), Sonevytskyi (298–299), UME (I: 326–27), VUE, 1978 (21), 1984 (24–25)",-,-
"VERYKIVSKY, Mykhailo","Вериківський, Михайло",Male,"November 8th, 1896 in Kremenets, Ternopil oblast, Ukraine","June 14th, 1962 in Kyiv, Ukraine",-,-,NMAU (1923) comp with B. Yarovsky,"Kharkiv Opera (1928–35), KHNUA (1934–35) director of Opera & Ballet (1928–35), NMAU (1946–60)","cond of Ukrainian National choir (1919), Kyiv Opera & Ballet (1926–28), & Kharkiv Opera and Orchestra (1928–35), cofounder of Leontovych Music Association (1921–28), chairman of presidium for All-Ukrainian Society of Revolutionary Musicians (1928–30), head of Dumka State Chapel (1940), musicologist",-,"Baley, Dytynyak (30), ESU, Grove, Ho (576), IEU, Karas, Korniy, Mukha (49–50), Musicalics, Olkhovsky, Rozhok, Shank (289), Sonevytskyi (302–303), Struk (V: 590), UASP, UME (I: 327–29), UMW, Vilkova (41–42), VUE",-,-
"VILENSKY, Illya","Віленський, Ілля",Male,"March 14th, 1896 in Kremenchuk, Poltava Oblast, Ukraine","June 28th, 1973 in Kyiv, Ukrain",-,-,"SPSC (1918) pno, comp with V. Kalafati",-,"co-founder of Kyiv Philharmonic, Young People’s Theatre, and the Kharkiv Theatre of the Red Army (1920s), artistic director of Dance Ensemble of Ukraine (1937–41)","joined (date unknown), member of the organizing committee, director of military patronage commission","Dytynyak (34), ESU, Mukha (55), Sonevytskyi (304–05), Struk (V: 602), UME (I: 375), UMW, Vilkova (47–48), 1968 (26–27)",-,-
"VILKA, Serhiy","Вілка, Сергій",Male,"1987 in Donetsk, Ukraine",-,-,-,"NMAU (?), fl, comp with Y. Stankovych; Private studies: comp J. Kornowicz in Warsaw, Poland (2019)",-,-,-,"Gnativ (66–67), UCMF, UL",-,via email
