composer,composer_cyrillic,gender,birth,death,currently,diaspora,studied,taught,worked,member_of_National_Union_of_Composers_of_Ukraine,sources,personal_website,in_contact
"KRASOTOV, Oleksandr","Красотов, Олександр ",Male,"May 5th, 1936 in Odesa, Ukraine (parents part of the Odesa Intelligentsia, mother pianist & teacher)","October 5th, 2007 in Tianjin, China",-,-,"ONMA (1959-1999) theory & comp, Tianjin Conservatory (1999-2007) invited professor of comp","ONMA (1959-?) theory & comp, Tianjin Conservatory (1999-2007) invited professor of comp",-,joined (1966),"Dytynyak (74-75), Herman (II: 39), Ho (284-85), Mukha (157-8), Musicalics, NMU, Sonevytsky (138), UME (II: 595-6), UMW",-,via email with son Aleksey Krasotov
"KRUTYKOV, Sviatoslav","Крутиков, Святослав",Male,"May 19th, 1944 in Tbilisi, Georgia (Krutykov’s mother was born and raised in Ukraine. She moved as a harpist to Georgia and met his father. The family returned to Ukraine in 1951.)",-,-,-,NMAU (1961–64)* comp with B. Lyatoshynsky *Krutykov voluntarily left in his fourth year as a resistance to the demands of the totalitarian regime,-,"Kyiv Theater Chronicle Studies (1964–?) and director of Renaissance ensembles “Renaissance” in Kyiv, “Camerata Taurica” in Yalta",joined (1995),"ESU, Mukha (161), UME (II: 622), UMW, Vilkova (156–57), NUCU website, 2006 (26)",-,via email 
"KRYVOPUST, Bohdan","Кривопуст, Богдан",Male,"May 5th, 1975 in Zaporizhzhia, Ukraine",-,-,-,"NMAU (1998) comp with L. Kolodub, (2000) pno, (2004) comp with G. Liashenko",-,"pianist, director of international forum “Music of Youth” in Kyiv (2008-), director of Muzychna Ukraina Publishing House (2010-)",joined (2000),"ESU, Mukha (159), UMW, Vilkova (154), NUCU website, 2006 (26)",-,via email 
"KUCHEROV, Valentyn","Кучеров, Валентин",Male,"September 25th, 1925 in New Odesa [Modern: Mikol], Mykolaiv oblast, Ukraine","March 28th, 2001 in Kyiv, Ukraine",-,-,NMAU (1953) comp with M. Vilinsky,"NMAU (1960–91), (1959) dean of history/theory",author of choral textbooks,-,"ESU, Mukha (165), UME (II: 657–58)",-,-
"KULESHA, Gary","Кулеша, Гері",Male,"August 22nd, 1954 in Toronto, Canada",-,"Toronto, Canada",Canada,Royal Conservatory of Music in Toronto (1973) pno (1978) comp with S. Dolin; Private studies: comp with J. McCabe (1978–81) & J. Corigliano (1982),University of Toronto (1991–),"music producer for CBC Radio Winnipeg (1977), composer in residence for Kitchener-Waterloo Symphony (1989–91) & Canadian Opera Company (1993-95), composer advisor for Toronto Symphony Orchestra (1995–2023), artistic director of The Composer’s Orchestra (1987–2004), served on the board of League of Composers Canadian Music Centre, & SOCAN, guest conductor for various orchestras",-,"CE, Dytynyak (77–78), ESU, Grove, Karas, Korniy, LCP, Mukha (163–164), Musicalics, Sonevytskyi (143–144), Slonimsky (III: 584–85), UDC, UME (II: 636–37), WRP, NUCU website, 2006 (103)",http://www.garykulesha.com/,via email
"KUSHNIR, Anton","Кушнір, Антон",Male,"February 21st, 1979 in Chernihiv, Ukraine (father Yaroslav Kushnir)",-,-,-,"LuC (date) flute, DSMA (1998) flute, Royal Conservatory of Music in Belgium (2000) flute, NMAU (2004) flute, (2007) flute, Chopin University of Music in Warsaw (2013) PhD","NMAU (2006-) flute & chamber music, Dean of Orchestral Faculty (2018-)","Chernihiv Symphony Orchestra (dates), National Philharmonic of Ukraine (2018-) flute, author of articles on flute performance, history and theory, founded Ukrainian Flute Society (date?), director of the International Flute Festival in Ukraine and Competition “Kyiv Flute Days” (dates?)",-,"ESU, Gnativ (48), UME (659-700)",-,via email
"KUSHNIR, Yaroslav","Кушнір, Ярослав",Male,1949 in Ukraine,,,,,,,,Gnativ (48-49),-,with son Anton Kushnir via email
"KUZMENKO, Larysa","Кузьменко, Лариса",Female,"January 23rd, 1956 in Toronto Canada (Parents born in Ukraine then immigrated to Australia, then to Canada)",-,"Toronto, Canada married to composer Gary Kulesha",Canada,University of Toronto (1979) & (1981) comp with O. Morawetz and W. Buczynski; Private studies comp with S. Dolin; pno with Antonina Yaroshevich,"University of Toronto (1989-) comp, orchestration, keyboard skills, aural skills, pno; Royal Conservatory of Music (1981-2004) Community School - pno (1996-2010) Glen Gould Professional School (1997-2008) Young Artists Performance Academy","coach/rehearsal pianist for Ukrainian Opera Company (1979-82), Royal Conservatory of Music (1990-2004) Board of Examiners, pianist (solo and accompanist), conductor for Cosmopolitan Opera Company Chorus (1979) & Stratford Festival Workshop (1982) , adjudicator for Ontario Arts Council Music Commissioning, Manitoba Arts Council Commissioning, & CBC Radio Commissioning,",-,"Dytynyak (77), ESU, LCP, Mukha (162-3), Musicalics, Sonevytsky (145-6), UME (II: 634), NUCU website, 2006 (103)",https://www.larysakuzmenko.com/index.html,via email 
"KVASNEVSKIY, Valeriy","Квасєвський, Валерій",Male,"November 4th, 1953 in Lviv, Ukraine",-,-,-,"LNMA (1977) vlc, comp with A. Kos-Anatolsky",-,-,-,UMW,-,via email 
"KYRYLIV, Dmytro","Кирилів, Дмитро",Male,"May 12th, 2002 in Ternopil, Ukraine",-,"Toronto, Canada",Canada (moved in 2024),"Music and Arts University of the City of Vienna (2024) cl, comp with D. D’arse, University of Toronto (2024-) Master of Music Technology; Private Studies: comp with C. Hatzis (2024-)",-,-,-,-,dymtrokyryliv.com,via email and in person
